data/actor2/actor2.txt 
graph size:n1: 303617 n2:896302, m 3782463
load graph
H:11
T:600000
maxE 4653, maxDuv 1590
start dp first v5
first dp time 4.960000
maxPlen 11

sumW 2:13249710 3:244310721 4:5503912186 5:98672013108 6:1384382142171 7:15685753021807 8:142550401539729 9:1020074740070818 10:5697786936326290 

second dp time 36.030000
2-2: 23017846
2-3: 60849811
2-4: 1057736413
2-5: 28669765634
2-6: 810826266270
2-7: 21903394952595
2-8: 550839608391343
2-9: 12814732012172590
2-10: 275760074361436640
3-2: 159254637
3-3: 109744468
3-4: 943075892
3-5: 13661229100
3-6: 228764656963
3-7: 3968403286102
3-8: 67319332412949
3-9: 1087797563225754
3-10: 16571243717735974
4-2: 4541911499
4-3: 426051675
4-4: 1386445144
4-5: 10066155299
4-6: 90317686757
4-7: 895674221386
4-8: 9127601336233
4-9: 90857222056648
4-10: 858276326908431
5-2: 220743733891
5-3: 2963938596
5-4: 2905532613
5-5: 11050373672
5-6: 57341586030
5-7: 344993804853
5-8: 2274631819091
5-9: 15609458435054
5-10: 106984005299348
6-2: 11142654451154
6-3: 31411422971
6-4: 8570730973
6-5: 15617015936
6-6: 48801193354
6-7: 183972685331
6-8: 771270984625
6-9: 3469343533208
6-10: 16136353543439
7-2: 516598422856566
7-3: 391927399362
7-4: 37015365923
7-5: 28781061975
7-6: 49769054772
7-7: 121472768175
7-8: 333343701992
7-9: 977326830800
7-10: 3012475073373
8-2: 21594566959722764
8-3: 4956683410459
8-4: 204673352379
8-5: 82881480789
8-6: 59749288788
8-7: 94117917338
8-8: 185313294276
8-9: 372237622400
8-10: 769152886793
9-2: 816876700048318464
9-3: 60001326058364
9-4: 1194479133546
9-5: 364854549181
9-6: 102854433998
9-7: 76649675221
9-8: 113385599322
9-9: 178511588347
9-10: 282728554052
10-2: 28179843830663327744
10-3: 681129720189992
10-4: 6650672294403
10-5: 1853646280177
10-6: 318998405346
10-7: 62734796123
10-8: 70950890213
10-9: 85572222774
10-10: 113955325905
ed
time:36193ms
