data/actor2/actor2.txt 
graph size:n1: 303617 n2:896302, m 3782463
load graph
maxDu:1334 maxDv:1590
H:11
T:4000000
start dp first
dp first 6.95s
maxPlen 11
sumW:23017846 sumW:165038023 sumW:2907684917 sumW:42298147617 sumW:427967346110 sumW:3052917840331 sumW:15764522684138 sumW:60052358823520 sumW:171035747006860 sumW:367186772838788 

2-2: 23017846
2-3: 60884274
2-4: 1056989439
2-5: 28612509956
2-6: 808522578229
2-7: 21832759068694
2-8: 549033833305872
2-9: 12774608844841860
2-10: 274966686829129408
3-2: 159074934
3-3: 109937950
3-4: 944999966
3-5: 13684721816
3-6: 228975659517
3-7: 3966511803764
3-8: 67173954819434
3-9: 1083611260369421
3-10: 16481980869513006
4-2: 4541378253
4-3: 426812456
4-4: 1386409571
4-5: 10074841579
4-6: 90399286882
4-7: 896556115048
4-8: 9138603959990
4-9: 90985788717740
4-10: 859595859517689
5-2: 221475385190
5-3: 2973075873
5-4: 2902191049
5-5: 11070705286
5-6: 57552265292
5-7: 346118374262
5-8: 2274285092701
5-9: 15516981373782
5-10: 105593205831773
6-2: 11225192763852
6-3: 31643845656
6-4: 8590751189
6-5: 15618108705
6-6: 48876607560
6-7: 183605755840
6-8: 768507416552
6-9: 3464403068540
6-10: 16220720366868
7-2: 522552360308142
7-3: 397128381044
7-4: 37409520775
7-5: 28718609279
7-6: 49802085718
7-7: 123148611982
7-8: 339642034706
7-9: 1006569880502
7-10: 3137467860174
8-2: 21929308217526044
8-3: 5049597204040
8-4: 208326312646
8-5: 82041555625
8-6: 59657999591
8-7: 94877109052
8-8: 183604981044
8-9: 379544768956
8-10: 812342138714
9-2: 832614208689105408
9-3: 61380511591350
9-4: 1220811693772
9-5: 357869960841
9-6: 102445546548
9-7: 76792797290
9-8: 110404440081
9-9: 169773779291
9-10: 274170048104
10-2: 28821316227500118016
10-3: 698716808472015
10-4: 6813918679186
10-5: 1808890358533
10-6: 317633663436
10-7: 62269750547
10-8: 67917396269
10-9: 77547588350
10-10: 96871391806
time:73820ms
