data/stackexchange-stackoverflow/stackoverflow.txt 
graph size:n1: 545195 n2:96678, m 1301942
load graph
maxDu:4917 maxDv:6119
H:11
T:500000
start dp first
dp fitsrt 5.34s
maxPlen 11
sumW:18293548 sumW:373010588 sumW:5089254211 sumW:45588572624 sumW:299845643930 sumW:1630444635795 sumW:7614623568240 sumW:29473401463552 sumW:90547576987272 sumW:216529038598555 

2-2: 18293548
2-3: 874715221
2-4: 114937419282
2-5: 18713621218966
2-6: 3040374312642028
2-7: 455356903318465088
2-8: 61498706147953549312
2-9: 7480200165121947860992
2-10: 823683652620918225633280
3-2: 139359637
3-3: 123355328
3-4: 2148525121
3-5: 57874574103
3-6: 1752942585844
3-7: 54013339502964
3-8: 1611816140462826
3-9: 45373033334239184
3-10: 1189694665642038272
4-2: 15200465295
4-3: 114081066
4-4: 209513100
4-5: 1280328022
4-6: 9840080247
4-7: 77876403546
4-8: 594507634468
4-9: 4269327881151
4-10: 28560256802426
5-2: 2091603763951
5-3: 684608927
5-4: 78908420
5-5: 111832943
5-6: 281621421
5-7: 855429213
5-8: 2712695685
5-9: 8414997240
5-10: 24769969239
6-2: 255328592782819
6-3: 7977695621
6-4: 87679578
6-5: 27204544
6-6: 17857387
6-7: 21453436
6-8: 34993170
6-9: 68573826
6-10: 139324652
7-2: 27103644505749748
7-3: 100206189565
7-4: 162114099
7-5: 13099360
7-6: 2095315
7-7: 3255286
7-8: 1395123
7-9: 348781
7-10: 38753
8-2: 2526715665471923712
8-3: 1187969170421
8-4: 352926268
8-5: 8534242
8-6: 590900
9-2: 209476171974215303168
9-3: 12896011415668
9-4: 789364494
9-5: 5784415
9-6: 210926
10-2: 15619850252830101209088
10-3: 127529780001897
10-4: 1705574776
10-5: 3552443
10-6: 46851
time:26593ms
